,country,code,year,contributions,personal,corporate,consumption,rgdp_pc,debt_to_gdp,population,population_growth,property_rights,integrity,tax_burden,spending,business_freedom,labor_freedom,monetary_freedom,trade_freedom,investment_freedom,financial_freedom,corruption,gini
108,Austria,AT,2009,14.1,23.1,6.4,11.7,34830,79.9,8341483,0.002394,90,81,49.9,27.1,78.6,78.7,80.9,85.8,70,70,7.9,27.5
109,Belgium,BE,2009,14.4,24,8.5,10.6,32700,100.2,10796498,0.008046,80,71,41.5,28.3,93.2,70.5,81,85.8,90,80,7.1,26.4
110,Bulgaria,BG,2009,7.2,9.1,4.2,13.8,4990,13.7,7444443,-0.006443,30,41,86.2,58.7,73.5,78.4,72.8,85.8,60,60,3.8,33.4
111,Croatia,HR,2009,12.1,15.6,4.5,16.4,10640,48.7,4306315,-0.00106,30,41,68.7,31.7,59.9,43.4,79,87.6,50,60,4.1,27
112,Cyprus,CY,2009,7.8,11.1,8.3,12.4,23550,54.3,808038,0.026851,90,53,76.6,42.2,70,70,85.7,80.8,70,70,6.6,29.5
113,Czechia,CZ,2009,14.2,16.2,5.5,10.5,14690,33.4,10491492,0.005908,70,52,80.2,43,65.1,67.8,79.7,85.8,70,80,4.9,25.1
114,Denmark,DK,2009,0.1,24.9,5.2,14.8,43220,40.2,5519441,0.005526,95,94,35.4,20.4,99.9,99.4,86.6,85.8,90,90,9.3,26.9
115,Estonia,EE,2009,12.8,18.1,2.7,14,10830,7.2,1334515,-0.001928,90,65,81.5,67.3,75.9,48.5,79.7,85.8,90,80,6.6,31.4
116,Finland,FI,2009,12.1,22.2,5.7,12.9,34150,41.5,5338867,0.004782,95,94,64.3,28.6,95.1,44.8,87.4,85.8,70,80,8.9,25.9
117,France,FR,2009,16.4,22.3,9.4,10.5,30250,83,64458715,0.005063,70,73,50.9,14.5,87.4,54.5,71.7,80.8,60,70,6.9,29.9
118,Germany,DE,2009,15.5,21.9,5.6,11.2,30580,73,81902308,-0.002534,90,78,58.5,38.2,90.3,43.4,80.8,85.8,80,60,8,29.1
119,Greece,EL,2009,10.2,13.2,7.1,10.4,21350,126.7,11107017,0.00263,50,46,66.5,46.3,78.7,61.2,78.8,80.8,50,50,3.8,33.1
120,Hungary,HU,2009,12.8,18.7,6,14.4,9820,78.2,10022647,-0.001549,70,53,70.6,19.2,77.4,68.4,73.8,85.8,80,70,5.1,24.7
121,Ireland,IE,2009,5.2,12.4,5.9,9.8,36300,61.7,4533395,0.010717,90,75,69.2,64.9,93,79.7,84.3,85.8,90,90,8,28.8
